title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Barry Lyndon,184,Adventure;Drama;History,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray,Ryan O'Neal;Marisa Berenson;Patrick Magee,8.1,92620
Rocky,119,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young,8.1,330411
Dog Day Afternoon,125,Crime;Drama;Romance,Sidney Lumet,Frank Pierson;P.F. Kluge,Al Pacino;John Cazale;Penelope Allen,8.1,169052
Fanny och Alexander,188,Drama,Ingmar Bergman,Ingmar Bergman,Bertil Guve;Pernilla Allwin;Kristina Adolphson,8.1,39278
Yip Man,106,Action;Biography;Drama,Wilson Yip,Edmond Wong;Chan Tai-Li,Donnie Yen;Simon Yam;Siu-Wong Fan,8.1,144424
The King's Speech,118,Biography;Drama,Tom Hooper,David Seidler,Colin Firth;Geoffrey Rush;Helena Bonham Carter,8.1,452288
Klokslag 12,85,Drama;Western,Fred Zinnemann,Carl Foreman;John W. Cunningham,Gary Cooper;Grace Kelly;Thomas Mitchell,8.1,73970
The Imitation Game,114,Biography;Drama;Thriller,Morten Tyldum,Graham Moore;Andrew Hodges,Benedict Cumberbatch;Keira Knightley;Matthew Goode,8.1,362659
La haine,98,Crime;Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui,8.1,93791
Per un pugno di dollari,99,Action;Drama;Western,Sergio Leone,Adriano Bolzoni;Víctor Andrés Catena,Clint Eastwood;Gian Maria Volonté;Marianne Koch,8.1,130013
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure;Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.1,741636
Tenkû no shiro Rapyuta,124,Animation;Adventure;Family,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman,8.1,87653
Notorious,101,Drama;Film-Noir;Romance,Alfred Hitchcock,Ben Hecht,Cary Grant;Ingrid Bergman;Claude Rains,8.1,68556
Prisoners,153,Crime;Drama;Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Viola Davis,8.1,331117
The Help,146,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer,8.1,291647
Roman Holiday,118,Comedy;Romance,William Wyler,Ian McLellan Hunter;John Dighton,Gregory Peck;Audrey Hepburn;Eddie Albert,8.1,90618
Wie is bang voor Virginia Woolf?,131,Drama;Romance,Mike Nichols,Ernest Lehman,Elizabeth Taylor;Richard Burton;George Segal,8.1,51761
Bom yeoreum gaeul gyeoul geurigo bom,103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim;Yeong-su Oh;Jong-ho Kim,8.1,57485
Papillon,151,Biography;Crime;Drama,Franklin J. Schaffner,Dalton Trumbo;Lorenzo Semple Jr.,Steve McQueen;Dustin Hoffman;Victor Jory,8.1,91109
Belle en het Beest,84,Animation;Family;Fantasy,Gary Trousdale;Kirk Wise,Linda Woolverton;Roger Allers,Paige O'Hara;Robby Benson;Jesse Corti,8.0,278179
The Night of the Hunter,92,Crime;Drama;Film-Noir,Charles Laughton;Robert Mitchum,Davis Grubb;James Agee,Robert Mitchum;Shelley Winters;Lillian Gish,8.1,59775
Anatomy of a Murder,160,Crime;Drama;Mystery,Otto Preminger,Wendell Mayes;John D. Voelker,James Stewart;Lee Remick;Ben Gazzara,8.1,42449
Before Sunset,80,Drama;Romance,Richard Linklater,Richard Linklater;Julie Delpy,Ethan Hawke;Julie Delpy;Vernon Dobtcheff,8.1,152933
La Strada,108,Drama,Federico Fellini,Federico Fellini;Tullio Pinelli,Anthony Quinn;Giulietta Masina;Richard Basehart,8.1,43761
The Graduate,106,Comedy;Drama;Romance,Mike Nichols,Calder Willingham;Buck Henry,Dustin Hoffman;Anne Bancroft;Katharine Ross,8.0,199567
Trois couleurs: Rouge,99,Drama;Mystery;Romance,Krzysztof Kieslowski,Krzysztof Kieslowski;Krzysztof Piesiewicz,Irène Jacob;Jean-Louis Trintignant;Frédérique Feder,8.1,59161
The Hustler,134,Drama;Sport,Robert Rossen,Sidney Carroll;Robert Rossen,Paul Newman;Jackie Gleason;Piper Laurie,8.1,59619
Fa yeung nin wa,98,Drama;Romance,Kar Wai Wong,Kar Wai Wong,Tony Chiu Wai Leung;Maggie Cheung;Ping Lam Siu,8.1,68453
Underground,170,Comedy;Drama;War,Emir Kusturica,Dusan Kovacevic;Emir Kusturica,Predrag Manojlovic;Lazar Ristovski;Mirjana Jokovic,8.1,41059
Le samouraï,105,Crime;Drama;Mystery,Jean-Pierre Melville,Jean-Pierre Melville;Georges Pellegrin,Alain Delon;Nathalie Delon;François Périer,8.1,29247
La dolce vita,174,Comedy;Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anita Ekberg;Anouk Aimée,8.1,45071
Solaris,167,Drama;Mystery;Sci-Fi,Andrei Tarkovsky,Stanislaw Lem;Fridrikh Gorenshteyn,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet,8.1,49130
Lagaan: Once Upon a Time in India,224,Adventure;Drama;Musical,Ashutosh Gowariker,Ashutosh Gowariker;Ashutosh Gowariker,Aamir Khan;Gracy Singh;Rachel Shelley,8.2,62299
